components,difference,q
4587,3607,0.150000
14450,9863,0.200000
35179,20729,0.250000
73041,37862,0.300000
140552,67511,0.350000
255767,115215,0.400000
440092,184325,0.450000
658901,218809,0.500000
874602,215701,0.550000
1061219,186617,0.600000
1201615,140396,0.650000
1281600,79985,0.700000
1288815,7215,0.750000
1214627,-74188,0.800000
1055519,-159108,0.850000
801013,-254506,0.900000
450542,-350471,0.950000
0,-450542,1.000000
1,1,0.000000
77,76,0.050000
969,892,0.100000
4667,3698,0.150000
14388,9721,0.200000
35080,20692,0.250000
73319,38239,0.300000
140409,67090,0.350000
255678,115269,0.400000
440498,184820,0.450000
659389,218891,0.500000
876770,217381,0.550000
1063258,186488,0.600000
1203199,139941,0.650000
1281373,78174,0.700000
1289346,7973,0.750000
1216753,-72593,0.800000
1054914,-161839,0.850000
800423,-254491,0.900000
450913,-349510,0.950000
0,-450913,1.000000
1,1,0.000000
71,70,0.050000
976,905,0.100000
4649,3673,0.150000
14316,9667,0.200000
34992,20676,0.250000
73377,38385,0.300000
140678,67301,0.350000
254774,114096,0.400000
439494,184720,0.450000
659751,220257,0.500000
875623,215872,0.550000
1062294,186671,0.600000
1202812,140518,0.650000
1281573,78761,0.700000
1288619,7046,0.750000
1216818,-71801,0.800000
1054536,-162282,0.850000
801371,-253165,0.900000
450849,-350522,0.950000
0,-450849,1.000000
1,1,0.000000
59,58,0.050000
961,902,0.100000
4643,3682,0.150000
14567,9924,0.200000
35026,20459,0.250000
72916,37890,0.300000
140226,67310,0.350000
254222,113996,0.400000
439363,185141,0.450000
659493,220130,0.500000
876613,217120,0.550000
1062778,186165,0.600000
1202412,139634,0.650000
1282272,79860,0.700000
1290094,7822,0.750000
1216382,-73712,0.800000
1055415,-160967,0.850000
800220,-255195,0.900000
450611,-349609,0.950000
0,-450611,1.000000
1,1,0.000000
65,64,0.050000
1017,952,0.100000
4637,3620,0.150000
14432,9795,0.200000
35155,20723,0.250000
73349,38194,0.300000
140224,66875,0.350000
253856,113632,0.400000
439858,186002,0.450000
658516,218658,0.500000
876736,218220,0.550000
1063036,186300,0.600000
1202217,139181,0.650000
1282858,80641,0.700000
1288662,5804,0.750000
1216192,-72470,0.800000
1054995,-161197,0.850000
