components,difference,q
449167,-351067,0.950000
0,-449167,1.000000
1,1,0.000000
217,216,0.050000
1186,969,0.100000
4946,3760,0.150000
14764,9818,0.200000
35317,20553,0.250000
73865,38548,0.300000
140867,67002,0.350000
254948,114081,0.400000
438350,183402,0.450000
659720,221370,0.500000
873531,213811,0.550000
1062267,188736,0.600000
1202006,139739,0.650000
1283399,81393,0.700000
1289969,6570,0.750000
1216243,-73726,0.800000
1054555,-161688,0.850000
800155,-254400,0.900000
450447,-349708,0.950000
0,-450447,1.000000
1,1,0.000000
211,210,0.050000
1253,1042,0.100000
5023,3770,0.150000
14766,9743,0.200000
35246,20480,0.250000
74106,38860,0.300000
140745,66639,0.350000
256805,116060,0.400000
439242,182437,0.450000
659112,219870,0.500000
876178,217066,0.550000
1062845,186667,0.600000
1204402,141557,0.650000
1280447,76045,0.700000
1289543,9096,0.750000
1215030,-74513,0.800000
1055025,-160005,0.850000
801783,-253242,0.900000
449422,-352361,0.950000
0,-449422,1.000000
1,1,0.000000
193,192,0.050000
1146,953,0.100000
5102,3956,0.150000
14760,9658,0.200000
35398,20638,0.250000
74307,38909,0.300000
141003,66696,0.350000
254759,113756,0.400000
439146,184387,0.450000
657996,218850,0.500000
875214,217218,0.550000
1061519,186305,0.600000
1203731,142212,0.650000
1279890,76159,0.700000
1290037,10147,0.750000
1216616,-73421,0.800000
1054620,-161996,0.850000
800909,-253711,0.900000
450358,-350551,0.950000
0,-450358,1.000000
1,1,0.000000
243,242,0.050000
1161,918,0.100000
4818,3657,0.150000
14833,10015,0.200000
35223,20390,0.250000
74091,38868,0.300000
140372,66281,0.350000
254895,114523,0.400000
439810,184915,0.450000
658138,218328,0.500000
873451,215313,0.550000
1060538,187087,0.600000
1202448,141910,0.650000
1281853,79405,0.700000
1289436,7583,0.750000
1216334,-73102,0.800000
1055998,-160336,0.850000
800373,-255625,0.900000
449592,-350781,0.950000
0,-449592,1.000000
1,1,0.000000
224,223,0.050000
1238,1014,0.100000
4990,3752,0.150000
14942,9952,0.200000
35823,20881,0.250000
73506,37683,0.300000
140160,66654,0.350000
254467,114307,0.400000
438775,184308,0.450000
659323,220548,0.500000
874543,215220,0.550000
1062534,187991,0.600000
1203848,141314,0.650000
1281701,77853,0.700000
1290457,8756,0.750000
1215741,-74716,0.800000
1055351,-160390,0.850000
800360,-254991,0.900000
449607,-350753,0.950000
0,-449607,1.000000
1,1,0.000000
214,213,0.050000
1203,989,0.100000
4968,3765,0.150000
14675,9707,0.200000
34966,20291,0.250000
73825,38859,0.300000
141017,67192,0.350000
255368,114351,0.400000
440081,184713,0.450000
659012,218931,0.500000
873621,214609,0.550000
1063666,190045,0.600000
1201135,137469,0.650000
1283228,82093,0.700000
1290077,6849,0.750000
1216423,-73654,0.800000
1054791,-161632,0.850000
801839,-252952,0.900000
449938,-351901,0.950000
0,-449938,1.000000
1,1,0.000000
223,222,0.050000
1222,999,0.100000
4930,3708,0.150000
14848,9918,0.200000
35267,20419,0.250000
73961,38694,0.300000
141346,67385,0.350000
254867,113521,0.400000
438653,183786,0.450000
661145,222492,0.500000
875653,214508,0.550000
1061021,185368,0.600000
1201807,140786,0.650000
1282157,80350,0.700000
1290767,8610,0.750000
1216321,-74446,0.800000
1054206,-162115,0.850000
800398,-253808,0.900000
450650,-349748,0.950000
0,-450650,1.000000
1,1,0.000000
184,183,0.050000
1215,1031,0.100000
4975,3760,0.150000
14870,9895,0.200000
35461,20591,0.250000
73746,38285,0.300000
141377,67631,0.350000
255098,113721,0.400000
437730,182632,0.450000
658698,220968,0.500000
874270,215572,0.550000
1062855,188585,0.600000
1200876,138021,0.650000
1282705,81829,0.700000
1288682,5977,0.750000
1217314,-71368,0.800000
1055080,-162234,0.850000
801215,-253865,0.900000
450872,-350343,0.950000
0,-450872,1.000000
1,1,0.000000
212,211,0.050000
1192,980,0.100000
5041,3849,0.150000
14577,9536,0.200000
35515,20938,0.250000
73582,38067,0.300000
140736,67154,0.350000
255479,114743,0.400000
440576,185097,0.450000
659980,219404,0.500000
874531,214551,0.550000
1063148,188617,0.600000
1201576,138428,0.650000
1281229,79653,0.700000
1290600,9371,0.750000
1215843,-74757,0.800000
1055414,-160429,0.850000
801446,-253968,0.900000
449111,-352335,0.950000
0,-449111,1.000000
